Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 11-60 Female,-0.002126,0.00938,0.997876193,0.979698599,1.016391,0.02071,0.08427,1.002073149,0.985657896,1.018762,-0.000209,0.001103,0.997323113,0.970094392,1.025316,0.000525,0.001171,1.003418689,0.98856639,1.018494
Age 11-60 Male,-0.037286,0.012269,0.963400265,0.940509586,0.986848,-0.228655,0.113268,0.977393901,0.955934411,0.999335,-0.001696,0.001428,0.97852643,0.944100237,1.014208,-0.004813,0.001555,0.969197573,0.950188413,0.988587
Age 60+All,0.00262,0.012139,1.002623892,0.979050788,1.026765,0.060602,0.109853,1.006078592,0.984648032,1.027976,0.002135,0.001416,1.027704822,0.99183897,1.064868,-0.000441,0.001531,0.997138363,0.97787708,1.016779
Age 60+ Female,0.015854,0.016035,1.015980037,0.984545048,1.048419,0.188788,0.144991,1.019058131,0.990505978,1.048433,0.001743,0.001867,1.022556466,0.975763908,1.071593,0.000574,0.002023,1.00373621,0.978200672,1.029938
Age 60+ Male,-0.014301,0.018185,0.98580032,0.951281836,1.021571,-0.102666,0.164855,0.989785951,0.958315664,1.02229,0.002645,0.002127,1.034434975,0.980687722,1.091128,-0.001743,0.002294,0.988736429,0.960260661,1.018057
All: LAG 5,0.003742,0.006403,1.003748554,0.991230802,1.016424,0.079582,0.058136,1.00798998,0.99656952,1.019541,0.000007,0.000753,1.000091066,0.981369793,1.019169,0.000761,0.0008,1.00496076,0.994766237,1.01526
Female,0.010072,0.007897,1.010123376,0.994609463,1.025879,0.126194,0.071408,1.012699362,0.998624339,1.026973,0.000271,0.000932,1.003471317,0.980288962,1.027202,0.001716,0.000984,1.011215222,0.998613256,1.023976
Male,-0.006303,0.010092,0.993717296,0.974255245,1.013568,0.00446,0.09224,1.000446139,0.982521579,1.018698,-0.000413,0.001182,0.994732187,0.965665353,1.024674,-0.000779,0.001267,0.994947462,0.979016517,1.011138
Warm All,0.001976,0.006104,1.001977872,0.990062293,1.014037,0.046269,0.074271,1.004637656,0.990118982,1.019369,-0.00021,0.00071,0.997318676,0.979711614,1.015242,0.001101,0.000858,1.007182778,0.996227489,1.018259
Warm Female,0.006081,0.007469,1.006099964,0.991479377,1.020936,0.081263,0.090572,1.008159435,0.99042049,1.026216,0.000249,0.000872,1.003191989,0.981478346,1.025386,0.001708,0.001046,1.011164362,0.997779261,1.024729
Warm Male,-0.004646,0.0095,0.995364739,0.977003377,1.014071,-0.011395,0.116227,0.998861197,0.97636378,1.021877,-0.000927,0.001098,0.988198686,0.961346159,1.015801,0.000085,0.001345,1.000552507,0.98354773,1.017851
Cold All,0.008952,0.006817,1.008991755,0.99560032,1.022563,0.098056,0.048713,1.009853876,1.000257887,1.019542,0.000349,0.000827,1.004479593,0.983856263,1.025535,0.000513,0.00075,1.00333916,0.993798399,1.012972
Cold Female,0.018323,0.008482,1.018492338,1.001700061,1.035566,0.150154,0.060345,1.015128696,1.003192913,1.027206,0.000306,0.001031,1.003919879,0.978283801,1.030228,0.001716,0.000932,1.011217913,0.999285724,1.023293
Cold Male,-0.005757,0.010923,0.994259817,0.973199703,1.015776,0.014695,0.078608,1.001470558,0.986158982,1.01702,0.000409,0.001321,1.005249696,0.972477469,1.039126,-0.001399,0.001204,0.990946181,0.975857903,1.006268
